01/12/2011;08:07;12:10;13:11;18:45
02/12/2011;07:57;12:20;14:24;18:28
03/12/2011;;;;
04/12/2011;;;;
05/12/2011;08:02;12:25;13:42;18:14
06/12/2011;07:55;13:01;14:07;19:10
07/12/2011;08:07;12:53;;18:48
08/12/2011;08:11;12:19;13:13;18:28
09/12/2011;08:30;12:22;13:06;19:39
10/12/2011;;;;
11/12/2011;;;;
12/12/2011;08:15;12:37;13:19;18:43
13/12/2011;09:05;12:09;13:17;19:15
14/12/2011;08:27;12:40;13:54;19:05
15/12/2011;08:27;12:15;13:11;19:01
16/12/2011;08:27;12:14;14:44;18:29
17/12/2011;;;;
18/12/2011;;;;
19/12/2011;09:07;12:26;12:55;19:10
20/12/2011;08:04;12:40;13:49;19:23
21/12/2011;08:24;12:16;12:53;18:51
22/12/2011;08:20;12:17;12:53;18:33
23/12/2011;08:05;12:03;;
24/12/2011;;;;
25/12/2011;;;;
26/12/2011;;;;
27/12/2011;08:24;12:29;13:24;18:49
28/12/2011;09:06;12:17;13:15;19:40
29/12/2011;09:18;12:12;13:07;18:24
30/12/2011;09:15;12:54;;
31/12/2011;;;;
